"data","cod_municipio","codigo_ibge","codigo_uf","nome_municipio","nome","latitude","longitude","capital","ddd","fuso_horario"
"02/2023","0002",1100379,11,"ALTO ALEGRE DOS PARECIS","Alto Alegre dos Parecis",-12.132,-61.835,0,69,"America/Porto_Velho"
"02/2023","0003",1100205,11,"PORTO VELHO","Porto Velho",-8.76077,-63.8999,1,69,"America/Porto_Velho"
"02/2023","0004",1100452,11,"BURITIS","Buritis",-10.1943,-63.8324,0,69,"America/Porto_Velho"
"02/2023","0005",1100122,11,"JI-PARANA","Ji-Paraná",-10.8777,-61.9322,0,69,"America/Porto_Velho"
"02/2023","0006",1100924,11,"CHUPINGUAIA","Chupinguaia",-12.5611,-60.8877,0,69,"America/Porto_Velho"
"02/2023","0007",1100023,11,"ARIQUEMES","Ariquemes",-9.90571,-63.0325,0,69,"America/Porto_Velho"
"02/2023","0008",1100940,11,"CUJUBIM","Cujubim",-9.36065,-62.5846,0,69,"America/Porto_Velho"
"02/2023","0009",1100049,11,"CACOAL","Cacoal",-11.4343,-61.4562,0,69,"America/Porto_Velho"
"02/2023","0010",1101435,11,"NOVA UNIAO","Nova União",-10.9068,-62.5564,0,69,"America/Porto_Velho"
"02/2023","0011",1100189,11,"PIMENTA BUENO","Pimenta Bueno",-11.672,-61.198,0,69,"America/Porto_Velho"
"02/2023","0012",1101450,11,"PARECIS","Parecis",-12.1754,-61.6032,0,69,"America/Porto_Velho"
"02/2023","0013",1100304,11,"VILHENA","Vilhena",-12.7502,-60.1488,0,69,"America/Porto_Velho"
"02/2023","0014",1101468,11,"PIMENTEIRAS DO OESTE","Pimenteiras do Oeste",-13.4823,-61.0471,0,69,"America/Porto_Velho"
"02/2023","0015",1100114,11,"JARU","Jaru",-10.4318,-62.4788,0,69,"America/Porto_Velho"
"02/2023","0016",1101476,11,"PRIMAVERA DE RONDONIA","Primavera de Rondônia",-11.8295,-61.3153,0,69,"America/Porto_Velho"
"02/2023","0017",1100155,11,"OURO PRETO DO OESTE","Ouro Preto do Oeste",-10.7167,-62.2565,0,69,"America/Porto_Velho"
"02/2023","0018",1101484,11,"SAO FELIPE D'OESTE","São Felipe D'Oeste",-11.9023,-61.5026,0,69,"America/Porto_Velho"
"02/2023","0019",1100254,11,"PRESIDENTE MEDICI","Presidente Médici",-11.169,-61.8986,0,69,"America/Porto_Velho"
"02/2023","0020",1101492,11,"SAO FRANCISCO DO GUAPORE","São Francisco do Guaporé",-12.052,-63.568,0,69,"America/Porto_Velho"
"02/2023","0021",1100080,11,"COSTA MARQUES","Costa Marques",-12.4367,-64.228,0,69,"America/Porto_Velho"
"02/2023","0022",1101559,11,"TEIXEIROPOLIS","Teixeirópolis",-10.9056,-62.242,0,69,"America/Porto_Velho"
"02/2023","0023",1100064,11,"COLORADO DO OESTE","Colorado do Oeste",-13.1174,-60.5454,0,69,"America/Porto_Velho"
"02/2023","0024",1101757,11,"VALE DO ANARI","Vale do Anari",-9.86215,-62.1876,0,69,"America/Porto_Velho"
"02/2023","0025",1100098,11,"ESPIGAO D'OESTE","Espigão D'Oeste",-11.5266,-61.0252,0,69,"America/Porto_Velho"
"02/2023","0026",1400027,14,"AMAJARI","Amajari",3.64571,-61.3692,0,95,"America/Porto_Velho"
"02/2023","0027",1100056,11,"CEREJEIRAS","Cerejeiras",-13.187,-60.8168,0,69,"America/Porto_Velho"
"02/2023","0028",1400175,14,"CANTA","Cantá",2.60994,-60.6058,0,95,"America/Porto_Velho"
"02/2023","0029",1100288,11,"ROLIM DE MOURA","Rolim de Moura",-11.7271,-61.7714,0,69,"America/Porto_Velho"
"02/2023","0030",1400233,14,"CAROEBE","Caroebe",0.884203,-59.6959,0,95,"America/Porto_Velho"
"02/2023","0031",5204557,52,"CALDAZINHA","Caldazinha",-16.7117,-49.0013,0,62,"America/Sao_Paulo"
"02/2023","0032",1400282,14,"IRACEMA","Iracema",2.18305,-61.0415,0,95,"America/Porto_Velho"
"02/2023","0033",1100015,11,"ALTA FLORESTA D'OESTE","Alta Floresta D'Oeste",-11.9283,-61.9953,0,69,"America/Porto_Velho"
"02/2023","0034",1400456,14,"PACARAIMA","Pacaraima",4.4799,-61.1477,0,95,"America/Porto_Velho"
"02/2023","0035",1100346,11,"ALVORADA D'OESTE","Alvorada D'Oeste",-11.3463,-62.2847,0,69,"America/Porto_Velho"
"02/2023","0036",1400472,14,"RORAINOPOLIS","Rorainópolis",0.939956,-60.4389,0,95,"America/Porto_Velho"
