"codigo_pais","nome_pais","data"
"013","AFEGANISTAO","02/2023"
"017","ALBANIA","02/2023"
"020","ALBORAN-PEREJIL,ILHAS","02/2023"
"023","ALEMANHA","02/2023"
"025","ALEMANHA, REP. DEMOCRATICA DA","02/2023"
"031","BURKINA FASO","02/2023"
"037","ANDORRA","02/2023"
"040","ANGOLA","02/2023"
"041","ANGUILLA","02/2023"
"043","ANTIGUA E BARBUDA","02/2023"
"047","ANTILHAS HOLANDESAS","02/2023"
"053","ARABIA SAUDITA","02/2023"
"059","ARGELIA","02/2023"
"063","ARGENTINA","02/2023"
"064","ARMENIA, REPUBLICA DA","02/2023"
"065","ARUBA","02/2023"
"069","AUSTRALIA","02/2023"
"072","AUSTRIA","02/2023"
"073","AZERBAIJAO, REPUBLICA DO","02/2023"
"077","BAHAMAS","02/2023"
"080","Bahrein, Ilhas","02/2023"
"081","BANGLADESH","02/2023"
"083","BARBADOS","02/2023"
"085","BIELO-RUSSIA (BELARUS) REP. DA","02/2023"
"087","BELGICA","02/2023"
"088","BELISE","02/2023"
"090","BERMUDAS","02/2023"
"093","Mianmar (Birmânia)","02/2023"
"097","BOLIVIA","02/2023"
"098","Bosnia-Herzegovina (Republica da)","02/2023"
"100","ZONA FRANCA DE MANAUS","02/2023"
"101","BOTSUANA","02/2023"
"105","BRASIL","02/2023"
"106","BRASIL (AFRETAMENTO)","02/2023"
"108","BRUNEI","02/2023"
"111","BULGARIA","02/2023"
"115","BURUNDI","02/2023"
"119","BUTAO","02/2023"
"127","Cabo Verde,República de","02/2023"
"131","CACHEMIRA","02/2023"
"137","CAYMAN,ILHAS","02/2023"
"141","CAMBOJA","02/2023"
"145","CAMAROES","02/2023"
"149","CANADA","02/2023"
"152","CANAL (ILHAS NORMANDAS)","02/2023"
"153","CASAQUISTAO, REPUBLICA DO","02/2023"
"154","CATAR","02/2023"
"158","CHILE","02/2023"
"160","China, República Popular","02/2023"
"161","FORMOSA (PROVINCIA DA CHINA)","02/2023"
"163","CHIPRE","02/2023"
"165","COCOS (KEELING),ILHAS","02/2023"
"169","COLOMBIA","02/2023"
"173","COMORES, ILHAS","02/2023"
"177","CONGO","02/2023"
"183","COOK, ILHAS","02/2023"
"187","Coréia, Rep.Pop.Democrática","02/2023"
"190","COREIA REPUBLICA DA","02/2023"
"193","COSTA DO MARFIM","02/2023"
"195","CROACIA, REPUBLICA DA","02/2023"
"196","COSTA RICA","02/2023"
"198","COVEITE","02/2023"
"199","CUBA","02/2023"
"229","BENIN","02/2023"
"232","DINAMARCA","02/2023"
"235","DOMINICA","02/2023"
"237","DUBAI","02/2023"
"239","EQUADOR","02/2023"
"240","EGITO","02/2023"
"244","EMIRADOS ARABES UNIDOS","02/2023"
"245","ESPANHA","02/2023"
"246","ESLOVENIA, REPUBLICA DA","02/2023"
"247","ESLOVACA, REPUBLICA","02/2023"
"249","ESTADOS UNIDOS","02/2023"
"251","ESTONIA, REPUBLICA DA","02/2023"
"253","ETIOPIA","02/2023"
"255","FALKLAND (ILHAS MALVINAS)","02/2023"
"259","FEROE, ILHAS","02/2023"
"263","FEZZAN","02/2023"
"267","FILIPINAS","02/2023"
"271","FINLANDIA","02/2023"
"275","FRANCA","02/2023"
"281","GABAO","02/2023"
"285","GAMBIA","02/2023"
"289","GANA","02/2023"
"291","GEORGIA, REPUBLICA DA","02/2023"
"293","GIBRALTAR","02/2023"
"297","GRANADA","02/2023"
"301","GRECIA","02/2023"
"305","GROENLANDIA","02/2023"
"309","GUADALUPE","02/2023"
"313","GUAM","02/2023"
"317","GUATEMALA","02/2023"
"325","GUIANA FRANCESA","02/2023"
"329","GUINE, REPUBLICA DA","02/2023"
"331","GUINE-EQUATORIAL","02/2023"
"334","GUINE BISSAU","02/2023"
"337","GUIANA","02/2023"
"341","HAITI","02/2023"
"345","HONDURAS","02/2023"
"351","HONG-KONG","02/2023"
"355","HUNGRIA","02/2023"
"357","IEMEN, REPUBLICA DO","02/2023"
"358","IEMEN DEMOCRATICO","02/2023"
"361","INDIA","02/2023"
"365","INDONESIA","02/2023"
"369","IRAQUE","02/2023"
"372","Irã, República Islamica do","02/2023"
"375","IRLANDA","02/2023"
"379","ISLANDIA","02/2023"
"383","ISRAEL","02/2023"
"386","ITALIA","02/2023"
"388","Sérvia E Montenegro(Iugoslávia,Rep. Fede","02/2023"
"391","JAMAICA","02/2023"
"395","JAMMU","02/2023"
"399","JAPAO","02/2023"
"403","JORDANIA","02/2023"
"411","KIRIBATI","02/2023"
"420","LAOS, REP. POP. E DEMOCR. DO","02/2023"
"423","LEBUAN(ILHA)","02/2023"
"426","LESOTO","02/2023"
"427","LETONIA, REPUBLICA DA","02/2023"
"431","LIBANO","02/2023"
"434","LIBERIA","02/2023"
"438","LIBIA","02/2023"
"440","LIECHTENSTEIN","02/2023"
"442","LITUANIA, REPUBLICA DA","02/2023"
"445","LUXEMBURGO","02/2023"
"447","MACAU","02/2023"
"450","MADAGASCAR","02/2023"
"455","MALAISIA","02/2023"
"458","MALAVI","02/2023"
"461","MALDIVAS","02/2023"
"464","MALI","02/2023"
"467","MALTA","02/2023"
"472","MARIANAS DO NORTE","02/2023"
"474","MARROCOS","02/2023"
"476","MARSHALL, ILHA","02/2023"
"477","MARTINICA","02/2023"
"485","MAURICIO","02/2023"
"488","MAURITANIA","02/2023"
"493","MEXICO","02/2023"
"494","MOLDAVIA (MOLDAVA),REP. DA","02/2023"
"495","MONACO","02/2023"
"497","MONGOLIA","02/2023"
"499","MICRONESIA, EST.FED.DA","02/2023"
"501","MONSERRAT","02/2023"
"505","MOCAMBIQUE","02/2023"
"507","NAMIBIA","02/2023"
"508","NAURU","02/2023"
"511","Christmas,Ilhas (Navidad)","02/2023"
"517","NEPAL","02/2023"
"521","NICARAGUA","02/2023"
"525","NIGER","02/2023"
"528","NIGERIA","02/2023"
"531","NIUE","02/2023"
"535","NORFOLK, ILHA","02/2023"
"538","NORUEGA","02/2023"
"542","NOVA CALEDONIA","02/2023"
"545","PAPUA NOVA GUINE","02/2023"
"548","NOVA ZELANDIA","02/2023"
"551","VANUATU","02/2023"
"556","OMA","02/2023"
"563","Pacífico, Ilhas do (Administ.dos Eua)","02/2023"
"566","Pacífico, Ilhas do","02/2023"
"569","PACIF. ILHAS TERR. USA","02/2023"
"573","Países Baixos (Holanda)","02/2023"
"575","PALAU, REPUBLICA DO","02/2023"
"576","PAQUISTAO","02/2023"
"580","PANAMA","02/2023"
"583","PAPUA, TERRITORIO DE","02/2023"
"586","PARAGUAI","02/2023"
"589","PERU","02/2023"
"593","PITCAIRN, ILHA DE","02/2023"
"599","POLINESIA FRANCESA","02/2023"
"603","POLONIA","02/2023"
"607","PORTUGAL","02/2023"
"611","PORTO RICO","02/2023"
"623","QUENIA","02/2023"
"625","QUIRGUIZIA, REPUBLICA DA","02/2023"
"628","REINO UNIDO","02/2023"
"640","REPUBLICA CENTRO AFRICANA","02/2023"
"647","REPUBLICA DOMINICANA","02/2023"
"660","REUNIAO","02/2023"
"665","ZIMBABUE","02/2023"
"666","COMUNIDADE ECONOMICA EUROPEIA","02/2023"
"670","ROMENIA","02/2023"
"675","RUANDA","02/2023"
"676","RUSSIA, FEDERACAO DA","02/2023"
"677","SALOMAO, ILHAS","02/2023"
"685","SAARA OCIDENTAL","02/2023"
"687","EL SALVADOR","02/2023"
"690","SAMOA","02/2023"
"691","SOMOA AMERICANA","02/2023"
"695","SAO CRISTOVAO E NEVES","02/2023"
"697","SAN MARINO","02/2023"
"700","SAO PEDRO E MIQUELLON","02/2023"
"705","SAO VICENTE E GRANADINAS","02/2023"
"710","SANTA HELENA","02/2023"
"715","SANTA LUCIA","02/2023"
"720","SAO TOME E PRINCIPE","02/2023"
"728","SENEGAL","02/2023"
"731","SEYCHELLES","02/2023"
"735","SERRA LEOA","02/2023"
"738","SIKKIM","02/2023"
"741","CINGAPURA","02/2023"
"744","SIRIA, REP. ARABE DA","02/2023"
"748","SOMALIA","02/2023"
"750","SRI-LANKA","02/2023"
"754","SUAZILANDIA","02/2023"
"756","AFRICA DO SUL","02/2023"
"759","SUDAO","02/2023"
"764","SUECIA","02/2023"
"767","SUICA","02/2023"
"770","SURINAME","02/2023"
"772","TADJIQUISTAO, REPUBLICA DO","02/2023"
"776","TAILANDIA","02/2023"
"780","TANZANIA","02/2023"
"782","Território Britânico no Oceano Índico","02/2023"
"783","DJIBUTI","02/2023"
"785","TERR. ALTA COMISS. PAC. OCEAN.","02/2023"
"788","CHADE","02/2023"
"790","TCHECOSLOVAQUIA","02/2023"
"791","THECA, REPUBLICA","02/2023"
"795","TIMOR ORIENTAL","02/2023"
"800","TOGO","02/2023"
"805","TOQUELAU","02/2023"
"810","TONGA","02/2023"
"815","TRINIDAD E TOBAGO","02/2023"
"820","TUNISIA","02/2023"
