"data","cnpj_basico","opition_pelo_simples","date_opcion_simples","date_exclusion_simples","option_mei","date_option_mei","date_exclusion_mei"
"02/2023",599085,"N",20070701,20070701,"N",0,0
"02/2023",730633,"N",20130101,20151231,"N",0,0
"02/2023",1029659,"N",20150101,20151231,"N",0,0
"02/2023",1086402,"N",20070701,20100131,"N",0,0
"02/2023",1429390,"S",20070701,0,"N",0,0
"02/2023",1459311,"S",20090101,0,"N",0,0
"02/2023",1487469,"N",20120101,20211231,"N",0,0
"02/2023",1529953,"N",20140101,20140101,"N",0,0
"02/2023",1534280,"S",20070701,0,"N",0,0
"02/2023",1611609,"S",20170101,0,"N",0,0
"02/2023",1666348,"S",20090101,0,"N",0,0
"02/2023",1673330,"N",20070701,20071231,"N",0,0
"02/2023",1678213,"S",20210101,0,"N",0,0
"02/2023",1705491,"N",20120101,20130228,"N",0,0
"02/2023",1750423,"N",20070701,20071231,"N",0,0
"02/2023",1890241,"N",20070701,20080131,"N",0,0
"02/2023",1907160,"N",20070701,20081231,"N",0,0
"02/2023",1932512,"N",20100101,20161231,"N",0,0
"02/2023",1990642,"N",20160101,20201231,"N",0,0
"02/2023",2038304,"N",20070701,20081231,"N",0,0
"02/2023",2135611,"S",20090101,0,"N",0,0
"02/2023",2175556,"N",20150101,20221231,"N",0,0
"02/2023",2225665,"N",20070701,20161231,"N",0,0
"02/2023",2251531,"N",20100101,20120702,"N",0,0
"02/2023",2251554,"S",20130101,0,"N",0,0
"02/2023",2384720,"N",20130101,20161231,"N",0,0
"02/2023",2404800,"N",20150101,20150101,"N",0,0
"02/2023",2406232,"N",20090101,20091231,"N",0,0
"02/2023",2457191,"N",20070701,20070701,"N",0,0
"02/2023",2510856,"N",20080101,20181231,"N",0,0
"02/2023",2553974,"N",20160101,20191231,"N",0,0
"02/2023",2702269,"N",20150101,20211231,"N",0,0
"02/2023",2742094,"N",20160101,20170531,"N",0,0
"02/2023",2749762,"S",20070701,0,"N",0,0
"02/2023",2768410,"N",20070701,20070701,"N",0,0
"02/2023",2785337,"S",20170101,0,"N",0,0
"02/2023",2897893,"N",20090101,20140531,"N",0,0
"02/2023",2939423,"S",20070701,0,"N",0,0
"02/2023",2955168,"S",20070701,0,"N",0,0
"02/2023",3042324,"N",20070701,20121231,"N",0,0
"02/2023",3066598,"N",20150101,20150101,"N",0,0
"02/2023",3230007,"S",20100101,0,"N",0,0
"02/2023",3243534,"N",20070701,20081231,"N",0,0
"02/2023",3281162,"N",20140101,20220112,"N",0,0
"02/2023",3303279,"S",20070701,0,"N",0,0
"02/2023",3357271,"S",20150101,0,"N",0,0
"02/2023",3357706,"N",20070701,20081231,"N",0,0
"02/2023",3372250,"N",20090101,20171231,"N",0,0
"02/2023",3384882,"S",20070701,0,"N",0,0
"02/2023",3420799,"N",20170101,20191231,"N",0,0
"02/2023",3425624,"S",20150101,0,"N",0,0
"02/2023",3496408,"N",20150101,20221231,"N",0,0
"02/2023",3509630,"N",20070701,20070701,"N",0,0
"02/2023",3583650,"N",20170101,20210930,"N",0,0
"02/2023",3636482,"N",20070701,20071231,"N",0,0
"02/2023",3738043,"N",20070701,20170531,"N",0,0
"02/2023",3793920,"N",20070701,20161231,"N",0,0
"02/2023",3797793,"S",20070701,0,"N",0,0
"02/2023",3832125,"N",20070701,20081231,"N",0,0
"02/2023",3850521,"N",20130101,20161231,"N",0,0
"02/2023",3901991,"S",20070701,0,"N",0,0
"02/2023",3904603,"S",20150101,0,"N",0,0
"02/2023",3906433,"S",20070701,0,"N",0,0
"02/2023",3918058,"N",20070701,20101231,"N",0,0
"02/2023",3929520,"S",20090101,0,"N",0,0
"02/2023",3961391,"N",20150101,20161231,"N",0,0
"02/2023",4014952,"S",20070701,0,"N",0,0
"02/2023",4032229,"N",20140101,20220525,"N",0,0
"02/2023",4091544,"N",20070701,20141231,"N",0,0
"02/2023",4112748,"N",20100101,20120731,"N",0,0
"02/2023",4140503,"N",20120101,20181231,"N",0,0
"02/2023",4153453,"N",20090101,20121231,"N",0,0
"02/2023",4169080,"N",20170101,20181231,"N",0,0
"02/2023",4211885,"N",20070701,20081231,"N",0,0
"02/2023",4256828,"N",20090101,20091231,"N",0,0
"02/2023",4276837,"N",20070701,20070701,"N",0,0
"02/2023",4299302,"S",20070701,0,"N",0,0
"02/2023",4331042,"N",20070701,20131231,"N",0,0
"02/2023",4334605,"N",20080101,20091231,"N",0,0
"02/2023",4342493,"N",20150101,20161231,"N",0,0
"02/2023",4345740,"N",20150101,20151231,"N",0,0
"02/2023",4398992,"N",20070701,20070701,"N",0,0
"02/2023",19982801,"S",20140331,0,"N",0,0
"02/2023",20055762,"S",20140206,0,"N",0,0
"02/2023",20136296,"S",20140425,0,"N",0,0
"02/2023",20239911,"S",20140513,0,"N",0,0
"02/2023",20316053,"N",20150101,20180326,"N",0,0
"02/2023",20553124,"N",20150101,20191231,"N",0,0
"02/2023",20653130,"N",20160101,20160831,"N",0,0
